name;url;mult
AsianLang2018;http://lrec-conf.org/workshops/lrec2018/W29/papers.html;false
ParlaCLARIN;http://lrec-conf.org/workshops/lrec2018/W2/papers.html;false
CMLC-6;http://lrec-conf.org/workshops/lrec2018/W17/papers.html;false
